
16
26      50      0       121808
0.3     50000

230000  210000  180000  160000  130000  100000  100000  110000  130000  190000  200000  220000
2510    1185    966     824     2210    1450    1173    420     1050    910     1200    18700   8500    7700    2400    6094
665     363     277     339     860     487     803     167     436     385     700     4485    4485    3750    600     3703

3.044   0       0       2.908   0       0       2.908   0       1.82    0.868   1.684   0       2.636   1.82    2.5     2.592
1.896   0       0       2.456   0       0       2.456   0       1.56    1.896   1.448   0       2.232   1.56    2.12    1.386
0.094   0       0       1.6835  0       0       0.655   0       1.1225  1.3095  0.5615  0       1.403   1.1225  1.1225  0.755
0       0       0       0       0       0       0       0.178   0.57    0.178   0       1.018   0       0.57    0       0
0       0.199   0.5005  0       0.5005  0.5005  0       0.2995  0.2325  0.333   0       0.5005  0       0.2325  0       0
0       0.239   0.239   0       0.239   0.239   0       0.101   0.055   0.101   0       0.239   0       0       0       0
0       0.198   0.198   0       0.198   0.198   0       0.042   0       0       0       0.198   0       0       0       0
0       0.551   0.551   0       0.551   0.551   0       0.329   0.255   0.366   0       0.551   0       0       0       0
0       0.9265  0.9265  0       0.9265  0.9265  0       0.5935  0.4825  0.5935  0       0.9265  0.8155  0       0.316   0.1995
1.436   1.608   1.608   0       1.608   1.608   0       1.092   0.92    0.318   0.834   1.608   1.436   0.92    1.35    1.3685
2.428   0.412   0.3     2.316   0.524   0.3     2.316   1.644   1.42    1.756   1.308   1.42    2.092   1.42    1.98    2.116
2.876   0       0       2.7445  0       0       2.7445  0       1.6925  1.9555  1.561   0       2.4815  1.6925  2.35    2.664

100000  100000  100000  100000  100000  100000  100000  100000  100000  100000  100000  100000
0       0       0       0       0       0       0       0       0       0       15000   2250    1400    1500    1000    0
